"definition","complex_id","source_records","region","regions","statistical_areas","sections","location_codes","methods","temporal_span_days","spatial_bbox_diameter_km","any_reversed_date","any_uncertain_date","generalized_easting_10km","generalized_northing_10km","crosses_region","crosses_statistical_area","crosses_section","crosses_location_code","mixed_method","temporal_review","spatial_review","review_required","review_reason","support_label"
"complex_1km_3d","hsr_c61256f8fe608297",1,"CC",1,1,1,1,1,,0,FALSE,TRUE,840,820,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"uncertain_date","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"complex_1km_3d","hsr_406806750380e2cf",1,"CC",1,1,1,1,1,,0,FALSE,TRUE,840,820,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"uncertain_date","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"complex_1km_3d","hsr_eaf6f28d0687779f",1,"CC",1,1,1,1,1,,0,FALSE,TRUE,840,820,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"uncertain_date","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"complex_1km_3d","hsr_8aa3f8b05ed2c85a",1,"CC",1,1,1,1,1,,0,FALSE,TRUE,840,800,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"uncertain_date","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"complex_1km_3d","hsr_3cd5acd9112ca21e",1,"CC",1,1,1,1,1,,0,FALSE,TRUE,840,800,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"uncertain_date","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"complex_1km_3d","hsr_3ae53ea9728760e8",1,"CC",1,1,1,1,1,,0,FALSE,TRUE,840,800,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"uncertain_date","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"complex_1km_3d","hsr_3dcc0165a657cdbe",1,"CC",1,1,1,1,1,,0,FALSE,TRUE,840,800,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"uncertain_date","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"complex_1km_3d","hsr_e808a9b9ce4b655b",1,"CC",1,1,1,1,1,,0,FALSE,TRUE,840,800,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"uncertain_date","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"complex_1km_3d","hsr_1a3e69c8f2967483",1,"CC",1,1,1,1,1,,0,FALSE,TRUE,850,800,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"uncertain_date","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"complex_1km_3d","hsr_07002925c699c48c",1,"CC",1,1,1,1,1,,0,FALSE,TRUE,840,810,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"uncertain_date","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"complex_1km_3d","hsr_6a6d3de6d1ab8d16",1,"CC",1,1,1,1,1,,0,FALSE,TRUE,840,810,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"uncertain_date","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"complex_1km_3d","hsr_8de54c270e60600c",1,"CC",1,1,1,1,1,,0,FALSE,TRUE,840,810,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"uncertain_date","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
